TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
0,0,527,389,4.99,0,0,0,0,0
3,0,527,389,4.99,0,527,389,0,0
6,0,528,388,4.99,0,528,388,0,0
9,0,528,387,4.99,0,528,387,0,0
12,0,528,386,4.99,0,528,386,0,0
15,0,528,386,4.99,0,528,386,0,0
18,0,528,385,4.99,0,528,385,0,0
21,0,529,384,4.99,0,529,384,0,0
24,0,529,383,4.99,0,529,383,0,0
27,0,529,383,4.99,0,529,383,0,0
30,0,529,382,4.99,0,529,382,0,0
33,0,530,381,4.99,0,530,381,0,0
36,0,530,380,4.99,0,530,380,0,0
39,0,530,379,4.99,0,530,379,0,0
42,0,530,379,4.99,0,530,379,0,0
45,0,530,378,4.99,0,530,378,0,0
48,0,531,377,4.99,0,531,377,0,0
51,0,531,376,4.99,0,531,376,0,0
54,0,531,376,4.99,0,531,376,0,0
57,0,531,375,4.99,0,531,375,0,0
60,0,532,374,4.99,0,532,374,0,0
63,0,532,373,4.99,0,532,373,0,0
66,0,532,373,4.99,0,532,373,0,0
69,0,532,372,4.99,0,532,372,0,0
72,0,532,371,4.99,0,532,371,0,0
75,0,533,370,4.99,0,533,370,0,0
78,0,533,369,4.99,0,533,369,0,0
81,0,533,369,4.99,0,533,369,0,0
84,0,533,368,4.99,0,533,368,0,0
87,0,533,367,4.99,0,533,367,0,0
90,0,534,366,4.99,0,534,366,0,0
93,0,534,366,4.99,0,534,366,0,0
96,0,534,365,4.99,0,534,365,0,0
99,0,534,364,4.99,0,534,364,0,0
102,0,535,363,4.99,0,535,363,0,0
105,0,535,363,4.99,0,535,363,0,0
108,0,535,362,4.99,0,535,362,0,0
111,0,535,361,4.99,0,535,361,0,0
114,0,535,360,4.99,0,535,360,0,0
117,0,536,359,4.99,0,536,359,0,0
120,0,536,359,4.99,0,536,359,0,0
123,0,536,358,4.99,0,536,358,0,0
126,0,536,357,4.99,0,536,357,0,0
129,0,537,356,4.99,0,537,356,0,0
132,0,537,356,4.99,0,537,356,0,0
135,0,537,355,4.99,0,537,355,0,0
138,0,537,354,4.99,0,537,354,0,0
141,0,537,353,4.99,0,537,353,0,0
144,0,538,353,4.99,0,538,353,0,0
147,0,538,352,4.99,0,538,352,0,0
150,0,538,351,4.99,0,538,351,0,0
153,0,538,350,4.99,0,538,350,0,0
156,0,539,349,4.99,0,539,349,0,0
159,0,539,349,4.99,0,539,349,0,0
162,0,539,348,4.99,0,539,348,0,0
165,0,539,347,4.99,0,539,347,0,0
168,0,539,346,4.99,0,539,346,0,0
171,0,540,346,4.99,0,540,346,0,0
174,0,540,345,4.99,0,540,345,0,0
177,0,540,344,4.99,0,540,344,0,0
180,0,540,343,4.99,0,540,343,0,0
183,0,541,343,4.99,0,541,343,0,0
186,0,541,342,4.99,0,541,342,0,0
189,0,541,341,4.99,0,541,341,0,0
192,0,541,340,4.99,0,541,340,0,0
195,0,541,339,4.99,0,541,339,0,0
198,0,542,339,4.99,0,542,339,0,0
201,0,542,338,4.99,0,542,338,0,0
204,0,542,337,4.99,0,542,337,0,0
207,0,542,336,4.99,0,542,336,0,0
210,0,543,336,4.99,0,543,336,0,0
213,0,543,335,4.99,0,543,335,0,0
216,0,543,334,4.99,0,543,334,0,0
219,0,543,333,4.99,0,543,333,0,0
222,0,543,333,4.99,0,543,333,0,0
225,0,544,332,4.99,0,544,332,0,0
228,0,544,331,4.99,0,544,331,0,0
231,0,544,330,4.99,0,544,330,0,0
234,0,544,329,4.99,0,544,329,0,0
237,0,545,329,4.99,0,545,329,0,0
240,0,545,328,4.99,0,545,328,0,0
243,0,545,327,4.99,0,545,327,0,0
246,0,545,326,4.99,0,545,326,0,0
249,0,545,326,4.99,0,545,326,0,0
252,0,546,325,4.99,0,546,325,0,0
255,0,546,324,4.99,0,546,324,0,0
258,0,546,324,1.6,0,546,324,0,0
261,0,546,324,1.6,0,546,324,0,0
264,0,546,324,1.6,0,546,324,0,0
267,0,546,324,1.6,0,546,324,0,0
270,0,546,324,1.6,0,546,324,0,0
273,0,546,324,1.6,0,546,324,0,0
276,0,546,325,1.6,0,546,325,0,0
279,0,546,326,1.6,0,546,326,0,0
282,0,546,327,1.6,0,546,327,0,0
285,0,546,328,1.6,0,546,328,0,0
288,0,546,328,1.6,0,546,328,0,0
291,0,546,329,1.6,0,546,329,0,0
294,0,546,330,1.6,0,546,330,0,0
