ObjectID,Frame,X,Y
2,0,"[938.0, 763.0]","[599.0, 473.0]"
2,1,"[938.5, 763.0]","[599.5, 473.0]"
2,2,"[938.0, 763.0]","[600.0, 473.0]"
2,3,"[938.0, 763.0]","[600.0, 474.0]"
2,4,"[939.0, 763.0]","[600.0, 474.0]"
2,5,"[939.5, 763.0]","[599.5, 473.0]"
2,6,"[939.0, 763.0]","[599.0, 474.0]"
2,7,"[939.0, 763.0]","[598.5, 474.0]"
2,8,"[938.5, 763.0]","[599.5, 474.0]"
2,9,"[938.0, 763.0]","[598.0, 474.0]"
2,10,"[938.5, 764.0]","[597.5, 474.0]"
2,11,"[939.0, 764.0]","[598.0, 474.0]"
2,12,"[939.5, 764.5]","[598.5, 474.5]"
2,13,"[939.0, 764.0]","[597.0, 475.0]"
2,14,"[939.0, 764.0]","[598.0, 475.0]"
2,15,"[939.0, 765.0]","[598.0, 475.0]"
2,16,"[939.0, 765.0]","[598.0, 475.0]"
2,17,"[939.0, 765.0]","[598.0, 474.0]"
2,18,"[939.0, 765.0]","[597.0, 475.0]"
2,19,"[939.5, 765.0]","[597.5, 476.0]"
2,20,"[938.5, 764.0]","[596.5, 475.0]"
2,21,"[938.5, 765.0]","[597.5, 475.0]"
2,22,"[938.0, 765.0]","[597.0, 475.0]"
2,23,"[938.5, 764.5]","[596.5, 475.5]"
2,24,"[938.5, 765.0]","[596.5, 476.0]"
2,25,"[937.5, 765.0]","[596.5, 476.0]"
2,26,"[938.0, 765.0]","[596.0, 475.0]"
2,27,"[938.5, 765.0]","[596.5, 475.0]"
2,28,"[938.0, 765.0]","[596.0, 475.0]"
2,29,"[938.5, 765.0]","[596.5, 475.0]"
2,30,"[938.5, 765.0]","[596.5, 475.0]"
2,31,"[937.5, 765.0]","[595.5, 475.0]"
2,32,"[938.5, 765.0]","[596.5, 475.0]"
2,33,"[937.5, 765.0]","[595.5, 475.0]"
2,34,"[937.5, 765.0]","[595.5, 476.0]"
2,35,"[937.5, 766.0]","[595.5, 476.0]"
2,36,"[937.5, 766.0]","[595.5, 476.0]"
2,37,"[937.5, 766.0]","[595.5, 476.0]"
2,38,"[938.5, 766.0]","[595.5, 475.0]"
2,39,"[937.5, 766.0]","[594.5, 475.0]"
2,40,"[937.5, 766.0]","[594.5, 475.0]"
2,41,"[937.0, 767.0]","[595.0, 475.0]"
2,42,"[937.0, 767.0]","[594.0, 475.0]"
2,43,"[937.0, 767.0]","[595.0, 476.0]"
2,44,"[937.0, 767.0]","[595.0, 476.0]"
2,45,"[937.0, 767.0]","[595.0, 476.0]"
2,46,"[937.5, 767.0]","[594.5, 475.0]"
2,47,"[936.5, 767.0]","[594.5, 475.0]"
2,48,"[936.5, 767.0]","[593.5, 475.0]"
2,49,"[937.5, 767.0]","[593.5, 475.0]"
2,50,"[937.0, 767.0]","[593.0, 475.0]"
2,51,"[937.0, 767.0]","[593.0, 475.0]"
2,52,"[937.5, 767.0]","[592.5, 475.0]"
2,53,"[936.5, 768.0]","[592.5, 475.0]"
2,54,"[936.5, 768.0]","[592.5, 475.0]"
2,55,"[936.5, 768.0]","[592.5, 475.0]"
2,56,"[935.5, 768.0]","[592.5, 475.0]"
2,57,"[935.5, 768.0]","[592.5, 475.0]"
2,58,"[935.5, 769.0]","[591.5, 474.0]"
2,59,"[935.5, 769.0]","[592.5, 474.0]"
2,60,"[935.5, 769.0]","[592.5, 475.0]"
2,61,"[935.5, 769.0]","[591.5, 475.0]"
2,62,"[935.5, 769.0]","[591.5, 475.0]"
2,63,"[934.5, 769.0]","[591.5, 475.0]"
2,64,"[935.5, 770.0]","[592.5, 475.0]"
2,65,"[935.5, 770.0]","[591.5, 475.0]"
2,66,"[934.5, 770.0]","[591.5, 475.0]"
2,67,"[934.5, 770.0]","[591.5, 475.0]"
2,68,"[934.5, 770.0]","[591.5, 475.0]"
2,69,"[934.5, 770.0]","[591.5, 475.0]"
2,70,"[934.5, 769.0]","[591.5, 476.0]"
2,71,"[934.5, 769.0]","[590.5, 475.0]"
2,72,"[933.5, 769.0]","[591.5, 475.0]"
2,73,"[934.5, 770.0]","[590.5, 475.0]"
2,74,"[934.5, 769.0]","[591.5, 475.0]"
2,75,"[934.5, 769.0]","[590.5, 475.0]"
2,76,"[934.5, 770.0]","[590.5, 475.0]"
2,77,"[933.5, 770.0]","[590.5, 475.0]"
2,78,"[933.5, 770.0]","[590.5, 475.0]"
2,79,"[933.5, 770.0]","[590.5, 475.0]"
2,80,"[933.5, 770.0]","[589.5, 475.0]"
