TimeStep,KilobotID,X,Y,Theta
0,0,536,627,5.39
0,1,916,30,3.63
0,2,856,616,3.14
0,3,865,286,4.39
0,4,100,658,2.96
0,5,651,462,1.29
0,6,302,661,0.4
0,7,629,557,4.15
0,8,261,387,4.48
0,9,837,564,4.14
0,10,710,258,1.16
0,11,208,243,3.49
0,12,936,206,1.78
0,13,422,784,4.82
0,14,67,49,4.1
0,15,70,521,3.06
0,16,15,444,3.94
0,17,440,713,0.34
0,18,510,778,3.89
0,19,835,380,1.67
0,20,721,478,0.26
0,21,930,102,3.74
0,22,584,100,0.67
0,23,29,619,4.38
0,24,854,207,3.39
0,25,720,746,2.75
0,26,214,92,1.32
0,27,184,763,1.47
0,28,619,617,0.66
0,29,900,433,3.93
0,30,243,585,1.14
0,31,122,33,4.64
0,32,574,25,4.8
0,33,578,325,2.16
0,34,987,75,3.59
0,35,93,642,1.78
0,36,557,575,3.74
0,37,318,630,6.14
0,38,790,36,0.99
0,39,542,455,4.15
0,40,615,202,3.11
0,41,100,141,2.87
0,42,829,145,4.6
0,43,808,442,1.07
0,44,185,326,5.95
0,45,80,103,2.0
0,46,247,165,2.2
0,47,23,778,2.35
0,48,67,125,1.3
0,49,353,35,2.18
6,0,548,612,5.39
6,1,898,20,3.63
6,2,836,616,3.14
6,3,858,267,4.39
6,4,81,662,2.96
6,5,657,481,1.29
6,6,320,669,0.4
6,7,618,540,4.15
6,8,256,368,4.48
6,9,827,547,4.14
6,10,718,276,1.16
6,11,189,237,3.49
6,12,932,226,1.78
6,13,424,764,4.82
6,14,55,33,4.1
6,15,50,522,3.06
6,16,1,430,3.94
6,17,459,720,0.34
6,18,496,765,3.89
6,19,833,400,1.67
6,20,741,483,0.26
6,21,913,91,3.74
6,22,600,113,0.67
6,23,22,600,4.38
6,24,835,202,3.39
6,25,701,754,2.75
6,26,219,111,1.32
6,27,186,783,1.47
6,28,634,629,0.66
6,29,886,419,3.93
6,30,252,603,1.14
6,31,121,13,4.64
6,32,575,5,4.8
6,33,567,342,2.16
6,34,969,67,3.59
6,35,89,662,1.78
6,36,540,563,3.74
6,37,338,627,6.14
6,38,801,53,0.99
6,39,531,438,4.15
6,40,595,203,3.11
6,41,80,146,2.87
6,42,826,125,4.6
6,43,818,459,1.07
6,44,204,320,5.95
6,45,72,121,2.0
6,46,235,182,2.2
6,47,9,792,2.35
6,48,73,144,1.3
6,49,341,52,2.18
12,0,561,596,5.39
12,1,881,11,3.63
12,2,816,616,3.14
12,3,852,248,4.39
12,4,61,666,2.96
12,5,662,501,1.29
12,6,339,677,0.4
12,7,608,523,4.15
12,8,252,348,4.48
12,9,816,530,4.14
12,10,726,294,1.16
12,11,170,230,3.49
12,12,928,245,1.78
12,13,426,745,4.82
12,14,44,16,4.1
12,15,30,524,3.06
12,16,987,416,3.94
12,17,478,726,0.34
12,18,481,751,3.89
12,19,831,420,1.67
12,20,760,488,0.26
12,21,897,80,3.74
12,22,616,125,0.67
12,23,15,581,4.38
12,24,815,197,3.39
12,25,683,762,2.75
